questions_spa,questions_eng
¿Cuándo fue la última vez que cambiaste de opinión acerca de algo importante?,When was the last time you changed your mind about something important?
¿Qué harías si supieras que vas a morir en un día?,What would you do if you knew you were going to die in a day?
¿Cuáles son algunos de los eventos en tu vida que te hicieron ser quien eres?,What are some of the events in your life that made you who you are?
"Si la vida es un juego como algunos dicen, ¿cuáles son sus reglas?","If life is a game as some say, what are its rules?"
¿Qué podrías hacer con dos millones de dólares para impactar a la mayor cantidad de gente posible?,What could you do with two million dollars to impact as many people as possible?
¿Cuáles serían las cosas más molestas de tenerte como compañero de cuarto?,What would be the most annoying things about having you as a roommate?
¿Por qué cosa quieres ser recordado?,What do you want to be remembered for?
"Si pudieras crear una regla que todos tuvieran que seguir, ¿qué regla crearías?","If you could create one rule that everyone had to follow, what rule would you create?"
¿Qué es algo que pasó o algo que alguien dijo que cambió la forma de ver el mundo?,What is something that happened or something that someone said that changed the way you see the world?
"Si te pusieran en aislamiento durante seis meses, ¿qué harías para mantenerte cuerdo?","If you were put in solitary confinement for six months, what would you do to stay sane?"
"Si pudieras tener un video de cualquier evento de tu vida, ¿qué evento elegirías?","If you could have a video of any event in your life, what event would you choose?"
¿Qué opinión o creencia increíblemente fuerte tienes que no tiene ninguna importancia para el gran esquema de las cosas?,What incredibly strong opinion or belief do you hold that has no relevance to the grand scheme of things?
¿Cuáles son las tres cosas principales que quieres lograr antes de morir? ¿Qué tan cerca estás de lograrlas?,What are the top three things you want to achieve before you die? How close are you to achieving them?
"Si pudieras convencer a todos en el mundo de hacer una cosa en un momento dado, ¿qué sería esa cosa?","If you could convince everyone in the world to do one thing at one time, what would that one thing be?"
"Si tuvieras un reloj que hiciera una cuenta regresiva para cualquier evento que eligieras, ¿a qué evento querrías que hiciera una cuenta regresiva?","If you had a clock that counted down to any event you chose, what event would you want it to count down to?"
¿Qué te gustaría poder decirte a ti mismo(a) de hace diez años? ¿Qué crees que querrás decirte a ti mismo(a) dentro de diez años?,What do you wish you could say to yourself from ten years ago? What do you think you would want to say to yourself in ten years?
¿Alguna vez alguien te salvó la vida?,Has anyone ever saved your life?
¿Qué temes que se esconda en la oscuridad?,What do you fear lurks in the darkness?
"Si te vieras obligado a revivir un bloque de diez minutos de tu vida una y otra vez por toda la eternidad, ¿qué diez minutos de tu vida elegirías?","If you were forced to relive a ten-minute block of your life over and over again for eternity, which ten minutes of your life would you choose?"
¿Qué metas personales tienes?,What are your personal goals?
¿Cuáles son tus metas para los próximos dos años?,What are your goals for the next two years?
¿Cómo han cambiado tus objetivos a lo largo de tu vida?,How have your goals changed throughout your life?
¿Qué tanto planificas para el futuro?,How much do you plan for the future?
¿Cómo planeas hacer del mundo un lugar mejor?,How do you plan to make the world a better place?
¿Cuáles son algunos de los objetivos que ya has alcanzado?,What are some of the goals you have already achieved?
¿Qué esperas conseguir en tu vida profesional?,What do you hope to achieve in your professional life?
¿Han influido tus padres en las metas que tienes?,Have your parents influenced the goals you have?
¿Sueles alcanzar los objetivos que te propones? ¿Por qué o por qué no?,"Do you usually achieve the goals you set for yourself, why or why not?"
¿Cuál es la mejor manera de mantenerse motivado y cumplir con las metas?,What is the best way to stay motivated and meet your goals?
¿Cuáles son algunos de los objetivos que no has logrado alcanzar?,What are some of the goals you have failed to achieve?
¿Cuál es la cosa más loca y escandalosa que quieres lograr?,"What is the craziest, most outrageous thing you want to achieve?"
¿Cuándo quieres retirarte? ¿Qué quieres hacer cuando te retires?,When do you want to retire? What do you want to do when you retire?
¿Qué metas personales tienes?,What are your personal goals?
¿Cuáles son tus metas para los próximos dos años?,What are your goals for the next two years?
¿Cómo han cambiado tus objetivos a lo largo de tu vida?,How have your goals changed throughout your life?
¿Qué tanto planificas para el futuro?,How much do you plan for the future?
¿Cómo planeas hacer del mundo un lugar mejor?,How do you plan to make the world a better place?
¿Cuáles son algunos de los objetivos que ya has alcanzado?,What are some of the goals you have already achieved?
¿Qué esperas conseguir en tu vida profesional?,What do you hope to achieve in your professional life?
¿Han influido tus padres en las metas que tienes?,Have your parents influenced the goals you have?
¿Sueles alcanzar los objetivos que te propones? ¿Por qué o por qué no?,"Do you usually achieve the goals you set for yourself, why or why not?"
¿Cuál es la mejor manera de mantenerse motivado y cumplir con las metas?,What is the best way to stay motivated and meet your goals?
¿Cuáles son algunos de los objetivos que no has logrado alcanzar?,What are some of the goals you have failed to achieve?
¿Cuál es la cosa más loca y escandalosa que quieres lograr?,"What is the craziest, most outrageous thing you want to achieve?"
¿Cuándo quieres retirarte? ¿Qué quieres hacer cuando te retires?,When do you want to retire? What do you want to do when you retire?
¿Cuál es la parte del cuerpo que no le importaría perder?,What’s a body part that you wouldn’t mind losing?
¿Cuál es la forma más tonta en que te has lesionado?,What is the dumbest way you’ve been injured?
¿Cuál es la mejor y la peor compra que has hecho?,What is the best and worst purchases you’ve ever made?
"Si tuvieras que cambiar tu nombre, ¿cuál sería tu nuevo nombre y por qué lo elegirías?","If you had to change your name, what would your new name be, and why would you choose that name?"
¿Cuál es tu mayor metedura de pata en la cocina?,What’s your biggest screw up in the kitchen?
¿Qué es lo más loco que ha hecho uno de tus profesores?,What is the craziest thing one of your teachers has done?
"¿Cuándo has metido la pata en todo, pero nadie se ha enterado de que has sido tú?","When did you screw everything up, but no one ever found out it was you?"
"¿Qué problema o situación te hizo pensar la televisión o las películas que sería común, pero cuando creciste descubriste que no lo era?","What problem or situation did TV / movies make you think would be common, but when you grew up you found out it wasn’t?"
"Además de los insectos y las arañas, ¿qué animales te molestan más?","Besides insects and spiders, what animals annoy you the most?"
¿Qué haces para relajarte después de un día duro?,What do you do to unwind after a hard day?
"¿Cuál es, en tu opinión, el animal más sorprendente y por qué?","What, in your opinion, is the most amazing animal and why?"
